Timestamp,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2,Nivel_agua,Nivel_total
2022-03-28 16:31:39.077450,1524.09347,1524.67305,1530.24847,1538.64182,1552.56142,1553.27927,1530.99773,1539.2581,1544.7514,1550.43184,1545.14023,1559.75393,257.0,257.0
2022-03-28 16:31:40.077450,1524.09587,1524.67267,1530.24758,1538.64242,1552.56213,1553.27906,1530.99777,1539.25917,1544.75051,1550.43141,1545.14043,1559.75454,257.0,257.0
2022-03-28 16:31:40.577450,1524.09594,1524.67294,1530.24863,1538.64222,1552.56217,1553.27916,1530.99791,1539.25881,1544.74961,1550.43127,1545.14011,1559.75344,257.0,257.0
2022-03-28 16:31:41.077450,1524.09805,1524.67198,1530.24872,1538.64266,1552.56227,1553.27922,1530.99816,1539.25875,1544.75156,1550.43021,1545.14069,1559.75384,257.0,257.0
2022-03-28 16:31:41.577450,1524.09741,1524.6721,1530.24832,1538.6425,1552.56165,1553.27901,1530.99852,1539.2586,1544.74975,1550.43102,1545.14007,1559.75429,257.0,257.0
2022-03-28 16:31:42.077450,1524.09391,1524.67277,1530.2484,1538.64253,1552.56117,1553.27939,1530.99821,1539.2584,1544.75142,1550.43036,1545.14104,1559.75409,257.0,257.0
2022-03-28 16:31:42.577450,1524.09389,1524.67269,1530.24838,1538.64291,1552.5636,1553.27888,1530.99876,1539.25918,1544.75222,1550.43104,1545.14021,1559.75423,257.0,257.0
2022-03-28 16:31:43.077450,1524.09389,1524.67455,1530.24789,1538.64222,1552.56292,1553.27944,1530.99834,1539.25954,1544.75179,1550.4309,1545.14052,1559.75426,257.0,257.0
2022-03-28 16:31:43.577450,1524.09389,1524.67416,1530.24744,1538.64237,1552.56191,1553.27939,1530.99791,1539.25929,1544.75249,1550.4311,1545.1402,1559.75367,257.0,257.0
2022-03-28 16:31:44.077450,1524.09389,1524.67287,1530.24784,1538.64276,1552.56304,1553.2801,1530.99835,1539.25943,1544.75234,1550.43123,1545.141,1559.75429,257.0,257.0
2022-03-28 16:31:44.577450,1524.09687,1524.67208,1530.24786,1538.64262,1552.56235,1553.27863,1530.99809,1539.25913,1544.75156,1550.43019,1545.14051,1559.75479,257.0,257.0
2022-03-28 16:31:45.077450,1524.09687,1524.67342,1530.24759,1538.642,1552.56146,1553.27936,1530.99842,1539.25854,1544.75155,1550.43129,1545.14021,1559.75494,257.0,257.0
2022-03-28 16:31:45.577450,1524.09668,1524.67204,1530.24826,1538.6422,1552.56284,1553.27864,1530.99841,1539.25915,1544.75149,1550.43156,1545.13931,1559.75433,257.0,257.0
2022-03-28 16:31:46.077450,1524.09875,1524.6734,1530.24958,1538.64229,1552.56306,1553.27907,1530.99901,1539.25955,1544.75129,1550.43098,1545.13965,1559.7534,257.0,257.0
2022-03-28 16:31:46.577450,1524.09656,1524.67191,1530.24834,1538.64223,1552.56184,1553.27885,1530.9989,1539.25917,1544.75049,1550.4303,1545.14029,1559.75477,257.0,257.0
2022-03-28 16:31:47.077450,1524.09439,1524.67176,1530.24785,1538.64204,1552.56238,1553.27913,1530.99881,1539.25916,1544.75304,1550.43061,1545.14,1559.75443,257.0,257.0
2022-03-28 16:31:47.577450,1524.09333,1524.67168,1530.24862,1538.6417,1552.56263,1553.2795,1530.99942,1539.25893,1544.75014,1550.43041,1545.14067,1559.75398,257.0,257.0
2022-03-28 16:31:48.077450,1524.09326,1524.67218,1530.24845,1538.64209,1552.56375,1553.27962,1530.99874,1539.25877,1544.7511,1550.43039,1545.14008,1559.75397,257.0,257.0
2022-03-28 16:31:48.577450,1524.09374,1524.67219,1530.24894,1538.64158,1552.56234,1553.27905,1530.99941,1539.25888,1544.75145,1550.43021,1545.14057,1559.75389,257.0,257.0
2022-03-28 16:31:49.077450,1524.0935,1524.67242,1530.24889,1538.64216,1552.56457,1553.27958,1530.99849,1539.25909,1544.7519,1550.42978,1545.14015,1559.75531,257.0,257.0
2022-03-28 16:31:49.577450,1524.09239,1524.6717,1530.24801,1538.64198,1552.56543,1553.27842,1530.99913,1539.25909,1544.75175,1550.43008,1545.14069,1559.75452,257.0,257.0
